epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,29751.7,1.08248,1.19458,1.29544,0.66007,0.63941,0.64402,0.50052,1.31874,1.49856,1.47363,0.0093961,0.0093961,0.0093961
63,30231,1.09178,1.21858,1.29527,0.65586,0.64543,0.64852,0.5022,1.31876,1.51655,1.47651,0.0093862,0.0093862,0.0093862
64,30710.3,1.09088,1.19775,1.29405,0.6602,0.63248,0.63987,0.50277,1.36414,1.54901,1.52297,0.0093763,0.0093763,0.0093763
65,31189.2,1.08658,1.18866,1.28334,0.70362,0.62713,0.6619,0.50958,1.31576,1.49399,1.46237,0.0093664,0.0093664,0.0093664
66,31668.5,1.08576,1.19744,1.29016,0.6792,0.63806,0.66235,0.51769,1.30982,1.474,1.45804,0.0093565,0.0093565,0.0093565
67,32147.4,1.0698,1.18148,1.28054,0.66352,0.65719,0.66885,0.52257,1.31593,1.46946,1.46881,0.0093466,0.0093466,0.0093466
68,32626.7,1.06249,1.16159,1.27541,0.66582,0.65606,0.66767,0.5192,1.32345,1.46247,1.4677,0.0093367,0.0093367,0.0093367
69,33106.1,1.08583,1.1663,1.28208,0.66796,0.64101,0.66277,0.51427,1.32046,1.51921,1.46285,0.0093268,0.0093268,0.0093268
70,33585.2,1.07092,1.17495,1.27517,0.67397,0.65428,0.66337,0.5158,1.31742,1.492,1.48293,0.0093169,0.0093169,0.0093169
71,34064.6,1.06538,1.16511,1.27533,0.69391,0.64583,0.66251,0.51283,1.34437,1.52164,1.49968,0.009307,0.009307,0.009307
72,34544.2,1.0664,1.15039,1.27944,0.66035,0.64164,0.65837,0.51406,1.33152,1.47052,1.48142,0.0092971,0.0092971,0.0092971
73,35023.6,1.05696,1.13062,1.26439,0.65427,0.65008,0.65408,0.50217,1.37072,1.55232,1.53078,0.0092872,0.0092872,0.0092872
74,35502.6,1.052,1.11914,1.25979,0.66666,0.66503,0.66017,0.51654,1.33663,1.4742,1.48287,0.0092773,0.0092773,0.0092773
75,35981.8,1.05117,1.11445,1.25969,0.69817,0.62677,0.66572,0.51529,1.3398,1.4439,1.48463,0.0092674,0.0092674,0.0092674
76,36461.3,1.05636,1.14257,1.26406,0.6824,0.64444,0.66192,0.52049,1.29869,1.46482,1.46008,0.0092575,0.0092575,0.0092575
77,36940.7,1.05231,1.11351,1.25655,0.65209,0.65555,0.66403,0.50994,1.35398,1.45527,1.48891,0.0092476,0.0092476,0.0092476
78,37419.7,1.0512,1.12092,1.26105,0.69941,0.62703,0.6686,0.51781,1.34047,1.47251,1.49343,0.0092377,0.0092377,0.0092377
79,37898.6,1.03306,1.08461,1.25262,0.74036,0.61605,0.66695,0.51563,1.33658,1.46374,1.49191,0.0092278,0.0092278,0.0092278
80,38377.9,1.04397,1.11191,1.25757,0.68213,0.65223,0.67325,0.52478,1.30587,1.45496,1.47183,0.0092179,0.0092179,0.0092179
81,38857.3,1.02554,1.07203,1.24385,0.69514,0.63987,0.66621,0.5192,1.31752,1.42822,1.48825,0.009208,0.009208,0.009208
82,39336.4,1.04619,1.08673,1.25657,0.6504,0.64871,0.6593,0.50798,1.34035,1.47862,1.49033,0.0091981,0.0091981,0.0091981
83,39815.8,1.03817,1.09472,1.25326,0.69792,0.64069,0.66382,0.51856,1.34567,1.46045,1.50387,0.0091882,0.0091882,0.0091882
84,40295.1,1.03154,1.07642,1.24438,0.7026,0.63324,0.66791,0.51827,1.32545,1.44641,1.48286,0.0091783,0.0091783,0.0091783
85,40774.1,1.02813,1.0847,1.24854,0.64544,0.66765,0.66207,0.51856,1.30135,1.44063,1.48221,0.0091684,0.0091684,0.0091684
86,41253.4,1.04507,1.09954,1.25325,0.65726,0.66343,0.66684,0.52,1.33224,1.45658,1.48615,0.0091585,0.0091585,0.0091585
87,41732.4,1.02379,1.08155,1.24927,0.72278,0.63527,0.66972,0.52077,1.33592,1.44253,1.49821,0.0091486,0.0091486,0.0091486
88,42211.6,1.02867,1.06375,1.23936,0.6462,0.66227,0.66397,0.52168,1.31182,1.48742,1.46953,0.0091387,0.0091387,0.0091387
89,42690.7,1.01498,1.04872,1.23191,0.72517,0.6452,0.67306,0.52932,1.31384,1.42546,1.46633,0.0091288,0.0091288,0.0091288
90,43170,1.02359,1.06924,1.24183,0.70205,0.64756,0.67099,0.52468,1.31132,1.41198,1.46731,0.0091189,0.0091189,0.0091189
91,43649.2,1.02489,1.07635,1.23366,0.71672,0.62938,0.66656,0.51987,1.32727,1.4413,1.48087,0.009109,0.009109,0.009109
92,44128.2,1.0107,1.03243,1.23028,0.67126,0.65555,0.66676,0.51873,1.32809,1.4496,1.48322,0.0090991,0.0090991,0.0090991
93,44607.6,1.01655,1.05273,1.23775,0.6797,0.66598,0.68106,0.53094,1.28967,1.39952,1.45807,0.0090892,0.0090892,0.0090892
94,45087.2,1.02481,1.05859,1.23712,0.67955,0.66925,0.68154,0.53594,1.28823,1.3919,1.45811,0.0090793,0.0090793,0.0090793
95,45566.5,1.00043,1.04679,1.23204,0.71033,0.62944,0.66646,0.5175,1.32907,1.44001,1.4918,0.0090694,0.0090694,0.0090694
96,46045.9,1.01896,1.04117,1.23186,0.70487,0.65777,0.67867,0.52817,1.32405,1.39335,1.48511,0.0090595,0.0090595,0.0090595
97,46525.3,1.00483,1.04605,1.22933,0.68846,0.64111,0.66578,0.51565,1.34167,1.47051,1.51202,0.0090496,0.0090496,0.0090496
98,47004.6,1.00455,1.01995,1.22002,0.68837,0.63997,0.67307,0.52593,1.32177,1.43268,1.47871,0.0090397,0.0090397,0.0090397
99,47483.7,1.00899,1.01701,1.22356,0.69601,0.66492,0.687,0.53603,1.30874,1.40205,1.45641,0.0090298,0.0090298,0.0090298
100,47963,0.99384,1.00234,1.21811,0.71092,0.65546,0.67766,0.52872,1.32594,1.40301,1.4794,0.0090199,0.0090199,0.0090199
101,48442.6,1.00225,1.01057,1.21414,0.70161,0.65196,0.68229,0.53229,1.31964,1.40269,1.47897,0.00901,0.00901,0.00901
102,48921.6,1.00244,1.019,1.2234,0.69336,0.65533,0.68048,0.52879,1.32306,1.42887,1.47999,0.0090001,0.0090001,0.0090001
103,49400.7,0.98558,1.00746,1.22102,0.71175,0.64826,0.67811,0.52867,1.3139,1.40978,1.47529,0.0089902,0.0089902,0.0089902
104,49880,1.00059,1.00441,1.21619,0.67686,0.6588,0.66713,0.52444,1.3302,1.42703,1.4821,0.0089803,0.0089803,0.0089803
105,50359.1,0.98735,0.9862,1.20853,0.70125,0.65052,0.67953,0.53464,1.30659,1.39079,1.46362,0.0089704,0.0089704,0.0089704
106,50838.4,0.98657,0.99656,1.20885,0.71846,0.6517,0.67689,0.52923,1.32414,1.41842,1.47965,0.0089605,0.0089605,0.0089605
107,51317.5,0.99718,1.00002,1.21234,0.69371,0.66413,0.68052,0.5288,1.32229,1.39208,1.49368,0.0089506,0.0089506,0.0089506
108,51796.5,0.98049,0.97109,1.20384,0.71918,0.64189,0.68045,0.5336,1.298,1.40949,1.46249,0.0089407,0.0089407,0.0089407
109,52275.6,0.99019,1.00612,1.21456,0.71056,0.66018,0.68298,0.53492,1.31588,1.39955,1.48132,0.0089308,0.0089308,0.0089308
110,52754.5,0.98145,0.9688,1.20947,0.69418,0.65872,0.67767,0.53142,1.3393,1.42753,1.49687,0.0089209,0.0089209,0.0089209
111,53233.5,0.96802,0.95963,1.19708,0.66997,0.67302,0.67799,0.53006,1.30964,1.38729,1.46173,0.008911,0.008911,0.008911
112,53712.7,0.96824,0.96467,1.19301,0.6726,0.67345,0.68234,0.53271,1.31727,1.4259,1.47804,0.0089011,0.0089011,0.0089011
113,54191.9,0.9909,0.97497,1.20713,0.70907,0.65686,0.68419,0.53505,1.29869,1.4108,1.46209,0.0088912,0.0088912,0.0088912
114,54671.4,0.9764,0.9679,1.20513,0.73808,0.64681,0.68004,0.53199,1.31325,1.42344,1.47821,0.0088813,0.0088813,0.0088813
115,55150.6,0.98441,0.97867,1.20978,0.70621,0.65275,0.67727,0.53356,1.31165,1.40963,1.47049,0.0088714,0.0088714,0.0088714
